gym_name,category,address,area,pincode,phone,website,google_rating,review_count,google_maps_url
"Maa Health Club & Fitness Zone","Gym","Badi Kher Mai Rd, Bhantalaiya, Anwar Ganj, Jabalpur MP 482002","Anwar Ganj","482002","","",4.5,34,"https://maps.google.com/?cid=ChIJ_VVkukOvgTkRmK6UlGKh7P0"
"AV Fitness","Gym","1st floor, AV Tower, opposite Aggarwal Petrol Pump, Karmeta, Jabalpur MP 482002","Karmeta","482002","+91 79879 53005","",4.6,53,"https://maps.google.com/?cid=ChIJuVZM-0GxgTkRT45_vj2DOtw"
"Shree Fitness & Unisex Gym","Gym","Patel Tower, Green City, near Samdariya Public School, Karmeta, Jabalpur MP 482002","Karmeta","482002","+91 94247 61422","",4.8,18,"https://maps.google.com/?cid=ChIJKQUTc46xgTkRV_nieY58a4E"
"Perfect Fitness Gym","Gym","Main Gate, Shreeram College, ITI Madhotal, Karmeta, Jabalpur MP 482002","Karmeta","482002","+91 79749 73675","",5.0,1,"https://maps.google.com/?cid=ChIJLVKhpJexgTkRZ5XltPf_89U"
"J & Y Fitness Studio And Gym","Gym","Ground Floor, Shree Ji Building, Green City Rd, Karmeta, Jabalpur MP 482002","Karmeta","482002","","","","","https://maps.google.com/?cid=ChIJfQQEQt6xgTkRDMUhpGGBsKc"
"Aura Fitness Unisex Gym","Gym","Raghunath Villa, Green City Rd, Kasoudhan Nagar, Karmeta, Jabalpur MP 482002","Karmeta","482002","+91 93007 84747","",4.8,5,"https://maps.google.com/?cid=ChIJQe22ba2xgTkRflZaLrrK8eU"
"Energy Life Fitness","Gym","ITI, 6 Kashyap, Madhotal, Karmeta, Jabalpur MP 482002","Madhotal Karmeta","482002","","",5.0,1,"https://maps.google.com/?cid=ChIJ40GYU32xgTkRLt_tVqz7v1s"
"Olympus Gym","Gym","Sushila Parisar, Amkhera Rd, near Water Tank, Jagriti Nagar, Adhartal, Jabalpur MP 482002","Adhartal","482002","","","","","https://maps.google.com/?cid=ChIJ..."
"Fitness Freaks (Katanga)","Fitness center","2nd floor, Narmada Rd, above Verma Dairy, MCI Colony, Katanga, Jabalpur MP 482001","Katanga","482001","","",2.5,11,"https://maps.google.com/?cid=ChIJi6U30E2tgTkREjOHzeJHUME"
"AURA DAZZLE FITNESS","Fitness center","Balhara Dairy, Anand Nagar, Adhartal, Jabalpur MP 482004","Adhartal","482004","+91 76975 67111","",5.0,4,"https://maps.google.com/?cid=ChIJy9L5PBevgTkRguMBn9XH2vI"
"MY YOGA AYURVEDA","Yoga studio","Ekta Chowk, Anmol Ashiyana Gate, near 17 Story Building, Vijay Nagar, Jabalpur MP 482002","Vijay Nagar","482002","+91 91096 42638","https://www.myyogaayurveda.com/",5.0,69,"https://maps.google.com/?cid=ChIJ5WFFbDCxgTkRq7McR0Wg-kA"
"Anant Yoga Academy (JBP)","Yoga studio","Front of Victoria Hospital, Hitkari Mahila Mahavidyalay, Karamchand Chowk, Jabalpur MP 482002","Karamchand Chowk","482002","+91 78285 90981","",4.9,52,"https://maps.google.com/?cid=ChIJi_uV4LevgTkR8NZVt5mpAnE"
"Om Yoga Studio","Yoga studio","Street 3, 93, Gaurighat Road, Tagore Nagar, Rampur, Jabalpur MP 482001","Rampur","482001","+91 98260 70449","",5.0,60,"https://maps.google.com/?cid=ChIJq46y7sKtgTkRqNuSm-UmYIk"
"Yoga For You","Yoga studio","South Civil Lines, opp. G.S College, Jabalpur MP 482001","South Civil Lines","482001","+91 99932 24575","http://www.yog4u.com/",5.0,5,"https://maps.google.com/?cid=ChIJFdLo8nuugTkRu_uRxlN97GQ"
"Yogkaram (Online Platform)","Yoga instructor","near Big Bazaar, Shatabdipuram Phase 2, Jabalpur MP 482002","Shatabdipuram","482002","+91 88179 75618","https://www.yogakarm7.com/",5.0,155,"https://maps.google.com/?cid=ChIJz03OScSzgTkRBCXXqqaYwKQ"
"Jabalpur Yoga Classes","Yoga instructor","Vijay Nagar, Jabalpur MP 482002","Vijay Nagar","482002","+91 62686 17752","",5.0,52,"https://maps.google.com/?cid=ChIJPRS4qcCxgTkRuoSJBfOyYc8"
